place,population,income,povertycount
"Ketchikan Gateway Borough, Alaska",13800,37590,7116
"Kodiak Island Borough, Alaska",13451,32876,6680
"Kusilvak Census Area, Alaska",8250,13762,2192
"Lake and Peninsula Borough, Alaska",1393,24836,653
"Matanuska-Susitna Borough, Alaska",105369,31232,43782
"Nome Census Area, Alaska",9988,23581,3693
"North Slope Borough, Alaska",9792,48730,5404
"Northwest Arctic Borough, Alaska",7715,23780,2619
"Petersburg Borough, Alaska",3257,36112,1653
"Prince of Wales-Hyder Census Area, Alaska",6407,27080,2753
"Sitka City and Borough, Alaska",8640,39615,4629
"Skagway Municipality, Alaska",1107,39453,738
"Southeast Fairbanks Census Area, Alaska",6878,32193,2801
"Valdez-Cordova Census Area, Alaska",9243,38907,4846
"Wrangell City and Borough, Alaska",2502,32286,1085
"Yakutat City and Borough, Alaska",649,32198,339
"Yukon-Koyukuk Census Area, Alaska",5377,22718,2190
"Apache County, Arizona",71511,15128,18400
"Cochise County, Arizona",125867,26819,43760
"Coconino County, Arizona",141274,27339,66820
"Gila County, Arizona",53546,24251,18695
"Graham County, Arizona",37996,18683,13104
"Greenlee County, Arizona",9522,25780,3870
"La Paz County, Arizona",20793,22879,6160
"Maricopa County, Arizona",4328810,33279,2068218
"Mohave County, Arizona",207695,26166,72932
"Navajo County, Arizona",109270,18935,33415
"Pima County, Arizona",1027207,29707,446383
"Pinal County, Arizona",432793,24959,157798
"Santa Cruz County, Arizona",46480,21480,17163
"Yavapai County, Arizona",228067,30341,88037
"Yuma County, Arizona",209468,21758,75903
"Arkansas County, Arkansas",17914,26386,7864
"Ashley County, Arkansas",20270,23391,7796
"Baxter County, Arkansas",41427,26863,16051
"Benton County, Arkansas",265759,34442,129785
"Boone County, Arkansas",37331,24727,16174
"Bradley County, Arkansas",10874,22945,4091
"Calhoun County, Arkansas",5192,23688,2111
"Carroll County, Arkansas",27965,25295,12013
"Chicot County, Arkansas",10615,20232,3282
"Clark County, Arkansas",22386,21337,10575
"Clay County, Arkansas",14889,22505,6391
"Cleburne County, Arkansas",25100,27227,10314
"Cleveland County, Arkansas",8128,24225,3061
"Columbia County, Arkansas",23776,21189,8944
"Conway County, Arkansas",20858,25158,8927
"Craighead County, Arkansas",107345,26948,49761
"Crawford County, Arkansas",62739,24547,26041
"Crittenden County, Arkansas",48672,23172,20601
"Cross County, Arkansas",16824,25380,7622
"Dallas County, Arkansas",7279,20517,2952
"Desha County, Arkansas",11709,19235,4563
"Drew County, Arkansas",18417,25543,7919
"Faulkner County, Arkansas",123624,26913,58112
"Franklin County, Arkansas",17738,20480,6681
"Fulton County, Arkansas",12231,19697,4077
"Garland County, Arkansas",98555,27171,41221
"Grant County, Arkansas",18126,28153,7760
"Greene County, Arkansas",44937,23494,18761
"Hempstead County, Arkansas",21842,21521,9218
"Hot Spring County, Arkansas",33597,21866,13127
"Howard County, Arkansas",13311,24481,5601
"Independence County, Arkansas",37427,23733,15902
"Izard County, Arkansas",13570,21164,4725
"Jackson County, Arkansas",17027,20295,5542
"Jefferson County, Arkansas",69282,21472,26139
"Johnson County, Arkansas",26372,21010,10448
"Lafayette County, Arkansas",6800,25876,2511
"Lawrence County, Arkansas",16549,21473,6600
"Lee County, Arkansas",9194,16968,2790
"Lincoln County, Arkansas",13455,14764,3209
"Little River County, Arkansas",12347,25759,4915
"Logan County, Arkansas",21668,21491,9059
"Lonoke County, Arkansas",72528,27293,32568
"Madison County, Arkansas",16211,24356,6674
"Marion County, Arkansas",16476,21395,5744
"Miller County, Arkansas",43572,23729,17792
"Mississippi County, Arkansas",42126,22750,17365
"Monroe County, Arkansas",7050,23538,2978
"Montgomery County, Arkansas",8950,22631,3262
"Nevada County, Arkansas",8351,19912,3204
"Newton County, Arkansas",7812,19735,2878
"Ouachita County, Arkansas",23830,21562,9487
"Perry County, Arkansas",10355,23164,3793
"Phillips County, Arkansas",18606,18651,6708
"Pike County, Arkansas",10756,23362,4609
"Poinsett County, Arkansas",23896,20963,9802
"Polk County, Arkansas",20094,23103,7211
"Pope County, Arkansas",63761,23391,26754
"Prairie County, Arkansas",8189,25789,3450
"Pulaski County, Arkansas",392967,32692,184202
"Randolph County, Arkansas",17695,23248,6976
"St. Francis County, Arkansas",25900,18447,8542
"Saline County, Arkansas",119415,30553,57691
"Scott County, Arkansas",10376,18281,3758
"Searcy County, Arkansas",7908,20410,3097
"Sebastian County, Arkansas",127591,25961,57296
"Sevier County, Arkansas",17081,22320,7338
"Sharp County, Arkansas",17139,21423,5957
"Stone County, Arkansas",12475,20695,4526
"Union County, Arkansas",39449,25193,15590
"Van Buren County, Arkansas",16642,22168,5670
"Washington County, Arkansas",232289,27790,111363
"White County, Arkansas",78762,23702,32213
"Woodruff County, Arkansas",6533,23423,2653
"Yell County, Arkansas",21464,22015,9103
"Alameda County, California",1656754,47314,862449
"Alpine County, California",1039,36739,343
"Amador County, California",38429,31987,13665
"Butte County, California",225817,29506,96095
"Calaveras County, California",45514,33456,17223
"Colusa County, California",21454,26932,9692
"Contra Costa County, California",1142251,48178,559366
"Del Norte County, California",27495,23674,9015
"El Dorado County, California",188563,42749,85101
"Fresno County, California",984521,24422,407511
"Glenn County, California",27976,22668,11279
"Humboldt County, California",135940,28769,62030
"Imperial County, California",180701,18018,60074
"Inyo County, California",17977,32590,8238
"Kern County, California",887641,23326,343445
"Kings County, California",150691,22373,54408
"Lake County, California",64195,27362,24304
"Lassen County, California",30818,22134,8611
"Los Angeles County, California",10081570,34156,4929863
"Madera County, California",155433,22853,58268
"Marin County, California",259943,72466,130747
"Mariposa County, California",17420,28757,7038
"Mendocino County, California",87224,29035,37689
"Merced County, California",271382,23011,104983
"Modoc County, California",8907,22843,2957
"Mono County, California",14310,34552,8328
"Monterey County, California",433410,30073,187708
"Napa County, California",139623,45195,71141
"Nevada County, California",99244,39233,44059
"Orange County, California",3168044,41514,1592151
"Placer County, California",385512,43759,178325
"Plumas County, California",18660,35198,7733
"Riverside County, California",2411439,28596,1032734
"Sacramento County, California",1524553,32751,704151
"San Benito County, California",60376,33174,29347
"San Bernardino County, California",2149031,25215,914514
"San Diego County, California",3316073,38073,1588732
"San Francisco County, California",874961,68883,523501
"San Joaquin County, California",742603,27521,313129
"San Luis Obispo County, California",282165,37233,131679
"San Mateo County, California",767423,61545,414747
"Santa Barbara County, California",444829,36039,213438
"Santa Clara County, California",1927470,56248,999094
"Santa Cruz County, California",273962,41312,136406
"Shasta County, California",179212,29720,74134
"Sierra County, California",3040,33747,1268
"Siskiyou County, California",43468,28615,16538
"Solano County, California",441829,35400,206978
"Sonoma County, California",499772,42178,256074
"Stanislaus County, California",543194,26258,228175
"Sutter County, California",96109,27371,39045
"Tehama County, California",63912,24301,24633
"Trinity County, California",12700,26523,4465
"Tulare County, California",461898,21380,178687
"Tuolumne County, California",54045,34702,20993
"Ventura County, California",847263,38595,415752
"Yolo County, California",217352,34515,99367
"Yuba County, California",76360,25583,29821
"Adams County, Colorado",504108,30313,261893
"Alamosa County, Colorado",16107,22131,6934
"Arapahoe County, Colorado",644560,40443,347236
"Archuleta County, Colorado",13253,31629,6088
"Baca County, Colorado",3561,24061,1622
"Bent County, Colorado",5787,13930,1454
"Boulder County, Colorado",322510,46826,175849
"Broomfield County, Colorado",67886,50863,38422
"Chaffee County, Colorado",19557,29827,8364
"Cheyenne County, Colorado",2026,29081,849
"Clear Creek County, Colorado",9495,39203,5265
"Conejos County, Colorado",8128,20640,3029
"Costilla County, Colorado",3745,21732,1394
"Crowley County, Colorado",5754,15517,1924
"Custer County, Colorado",4776,29258,1725
"Delta County, Colorado",30565,26499,11012
"Denver County, Colorado",705576,43770,402046
"Dolores County, Colorado",1857,26323,792
"Douglas County, Colorado",336041,53313,182234
"Eagle County, Colorado",54681,44391,34128
"Elbert County, Colorado",25717,44690,13760
"El Paso County, Colorado",698974,33728,323140
"Fremont County, Colorado",47321,22692,14327
"Garfield County, Colorado",59055,33393,31575
"Gilpin County, Colorado",6018,49641,3848
"Grand County, Colorado",15303,37876,8646
"Gunnison County, Colorado",16802,32191,9747
"Hinsdale County, Colorado",857,33570,384
"Huerfano County, Colorado",6679,25140,2560
"Jackson County, Colorado",1261,28199,641
"Jefferson County, Colorado",574798,44119,316280
"Kiowa County, Colorado",1489,25937,697
"Kit Carson County, Colorado",7447,27797,3514
"Lake County, Colorado",7751,29122,4249
"La Plata County, Colorado",55617,39493,29339
"Larimer County, Colorado",344786,37363,182498
"Las Animas County, Colorado",14266,25813,5844
"Lincoln County, Colorado",5585,16753,1499
"Logan County, Colorado",22380,26727,11271
"Mesa County, Colorado",151218,29596,70796
"Mineral County, Colorado",824,33955,418
"Moffat County, Colorado",13127,29100,6163
"Montezuma County, Colorado",26031,26072,11212
"Montrose County, Colorado",41686,28078,17659
"Morgan County, Colorado",28517,25064,13632
"Otero County, Colorado",18282,21110,7030
"Ouray County, Colorado",4796,41160,2329
"Park County, Colorado",17867,36500,8880
"Phillips County, Colorado",4290,26494,1948
"Pitkin County, Colorado",17926,54875,11937
"Prowers County, Colorado",12022,23698,5494
"Pueblo County, Colorado",165982,25051,68559
"Rio Blanco County, Colorado",6384,26487,2806
"Rio Grande County, Colorado",11305,24582,4614
"Routt County, Colorado",25072,43769,14464
"Saguache County, Colorado",6592,22511,2748
"San Juan County, Colorado",589,34502,344
"San Miguel County, Colorado",8049,47526,5100
"Sedgwick County, Colorado",2322,27527,942
"Summit County, Colorado",30649,41281,19805
"Teller County, Colorado",24524,35703,11875
"Washington County, Colorado",4868,27860,2284
"Weld County, Colorado",305345,31793,152572
"Yuma County, Colorado",10003,27955,4899
"Fairfield County, Connecticut",943926,57263,477144
"Hartford County, Connecticut",893561,40540,451120
"Litchfield County, Connecticut",182002,44480,97180
"Middlesex County, Connecticut",163053,46023,88260
"New Haven County, Connecticut",857513,38009,430091
"New London County, Connecticut",267390,39426,132898
"Tolland County, Connecticut",151063,41371,79361
"Windham County, Connecticut",116566,32732,59582
"Kent County, Delaware",176699,28845,79883
"New Castle County, Delaware",556165,37532,276420
"Sussex County, Delaware",224384,35491,99317
"District of Columbia, District of Columbia",692683,56147,376871
"Alachua County, Florida",265443,28646,126034
"Baker County, Florida",28211,24686,11039
"Bay County, Florida",182161,29290,82767
"Bradford County, Florida",27317,20529,9393
"Brevard County, Florida",585507,32176,252483
"Broward County, Florida",1926205,32909,966496
"Calhoun County, Florida",14362,19304,4815
"Charlotte County, Florida",181067,32144,62286
"Citrus County, Florida",145169,26989,46529
"Clay County, Florida",211405,30483,96866
"Collier County, Florida",371453,45567,158452
"Columbia County, Florida",69968,24275,26530
"DeSoto County, Florida",36903,18503,13571
"Dixie County, Florida",16589,21144,5143
"Duval County, Florida",936186,31327,453177
"Escambia County, Florida",313491,28022,136650
"Flagler County, Florida",109801,29383,43163
"Franklin County, Florida",11811,26574,4268
"Gadsden County, Florida",45945,20734,16813
"Gilchrist County, Florida",17953,21578,6698
"Glades County, Florida",13516,21953,3842
"Gulf County, Florida",15576,23252,5750
"Hamilton County, Florida",14326,16136,3770
"Hardee County, Florida",27131,17754,9752
"Hendry County, Florida",40732,19167,17749
"Hernando County, Florida",186313,25860,68907
"Highlands County, Florida",103437,25752,33555
"Hillsborough County, Florida",1422278,32343,696246
"Holmes County, Florida",19432,19201,6849
"Indian River County, Florida",153989,36516,58626
"Jackson County, Florida",47945,20019,16690
"Jefferson County, Florida",14161,24510,5107
"Lafayette County, Florida",8637,20776,2481
"Lake County, Florida",345867,28348,141998
"Lee County, Florida",737468,33543,308959
"Leon County, Florida",289770,30586,146627
"Levy County, Florida",40403,21579,15416
"Liberty County, Florida",8345,17872,2323
"Madison County, Florida",18460,19510,6314
"Manatee County, Florida",384213,33853,162556
"Marion County, Florida",353526,25839,125900
"Martin County, Florida",159065,42199,65826
"Miami-Dade County, Florida",2699428,28224,1310482
"Monroe County, Florida",75798,46028,40056
"Nassau County, Florida",83098,36553,37539
"Okaloosa County, Florida",203794,33019,89111
"Okeechobee County, Florida",41144,21367,15304
"Orange County, Florida",1349746,30456,688631
"Osceola County, Florida",351955,22196,165008
"Palm Beach County, Florida",1465027,39933,684112
"Pasco County, Florida",524602,29001,218061
"Pinellas County, Florida",964666,35196,453031
"Polk County, Florida",686218,24864,285305
"Putnam County, Florida",73252,20915,25868
"St. Johns County, Florida",244674,43194,112316
"St. Lucie County, Florida",312947,27121,132350
"Santa Rosa County, Florida",174755,31691,75427
"Sarasota County, Florida",419496,41081,170059
"Seminole County, Florida",461402,35175,232498
"Sumter County, Florida",125044,35560,25261
"Suwannee County, Florida",44046,22808,16778
"Taylor County, Florida",21870,17391,6426
"Union County, Florida",15303,17010,3671
"Volusia County, Florida",536487,28517,226928
"Wakulla County, Florida",32321,25733,13623
"Walton County, Florida",68262,34475,30611
"Washington County, Florida",24764,18401,8481
"Appling County, Georgia",18440,21300,7174
"Atkinson County, Georgia",8239,20338,3256
"Bacon County, Georgia",11201,20326,4108
"Baker County, Georgia",3132,22525,1092
"Baldwin County, Georgia",45111,21716,18464
"Banks County, Georgia",18708,21403,7713
"Barrow County, Georgia",78991,25266,37291
"Bartow County, Georgia",104919,26493,48127
"Ben Hill County, Georgia",17033,17774,6130
"Berrien County, Georgia",19152,19547,7370
"Bibb County, Georgia",153200,25640,63504
"Bleckley County, Georgia",12807,20458,4535
"Brantley County, Georgia",18756,20191,6769
"Brooks County, Georgia",15590,25700,6074
"Bryan County, Georgia",37063,31623,16208
"Bulloch County, Georgia",76120,22328,34290
"Burke County, Georgia",22520,22173,9366
"Butts County, Georgia",24090,27195,9503
"Calhoun County, Georgia",6365,14005,1677
"Camden County, Georgia",53231,29741,21519
"Candler County, Georgia",10812,20687,4389
"Carroll County, Georgia",117183,24993,53011
"Catoosa County, Georgia",66700,27308,31272
"Charlton County, Georgia",13040,18323,4109
"Chatham County, Georgia",288496,32229,138578
"Chattahoochee County, Georgia",10560,23769,2219
"Chattooga County, Georgia",24812,18715,9098
"Cherokee County, Georgia",247515,36503,127265
"Clarke County, Georgia",126176,23827,61423
"Clay County, Georgia",2951,17036,916
"Clayton County, Georgia",283538,20970,129683
"Clinch County, Georgia",6686,15152,2232
"Cobb County, Georgia",751218,40031,396869
"Coffee County, Georgia",43021,19905,16896
"Colquitt County, Georgia",45486,20529,18685
"Columbia County, Georgia",150705,34579,68738
"Cook County, Georgia",17177,20128,7128
"Coweta County, Georgia",143260,33875,70819
"Crawford County, Georgia",12325,23204,4707
"Crisp County, Georgia",22713,22933,9049
"Dade County, Georgia",16197,24000,7057
"Dawson County, Georgia",24536,34239,12035
"Decatur County, Georgia",26682,21568,10317
"DeKalb County, Georgia",749323,36077,382970
"Dodge County, Georgia",20829,20216,7878
"Dooly County, Georgia",13736,22716,5089
"Dougherty County, Georgia",89703,22059,34980
"Douglas County, Georgia",143316,27743,69595
"Early County, Georgia",10312,19026,3703
"Echols County, Georgia",3981,23885,1758
"Effingham County, Georgia",60477,31704,28887
"Elbert County, Georgia",19166,22355,7769
"Emanuel County, Georgia",22533,19389,8551
"Evans County, Georgia",10687,20725,4400
"Fannin County, Georgia",25395,27940,9998
"Fayette County, Georgia",112303,44061,53105
"Floyd County, Georgia",97369,25776,41723
"Forsyth County, Georgia",228383,43832,115231
"Franklin County, Georgia",22766,23187,9263
"Fulton County, Georgia",1036200,47163,535127
"Gilmer County, Georgia",30414,27282,13076
"Glascock County, Georgia",2996,23541,1322
"Glynn County, Georgia",84470,33848,39037
"Gordon County, Georgia",57202,24092,26262
"Grady County, Georgia",24828,22543,10520
"Greene County, Georgia",17349,37818,6482
"Gwinnett County, Georgia",915046,30636,459927
"Habersham County, Georgia",44626,23046,18747
"Hall County, Georgia",198667,29680,93448
"Hancock County, Georgia",8515,16704,2152
"Haralson County, Georgia",29227,25074,12814
"Harris County, Georgia",34105,36273,15470
"Hart County, Georgia",25773,23181,9819
"Heard County, Georgia",11736,22714,5137
"Henry County, Georgia",225356,29889,109797
"Houston County, Georgia",153507,29462,71363
"Irwin County, Georgia",9320,19878,3630
"Jackson County, Georgia",67885,28915,31077
"Jasper County, Georgia",13916,22814,5680
"Jeff Davis County, Georgia",15036,17833,5309
"Jefferson County, Georgia",15618,19259,5977
"Jenkins County, Georgia",8793,15531,3319
"Johnson County, Georgia",9691,21087,3958
"Jones County, Georgia",28579,25854,12306
"Lamar County, Georgia",18672,22413,6932
"Lanier County, Georgia",10380,19207,3574
"Laurens County, Georgia",47405,21665,17458
"Lee County, Georgia",29502,29348,13314
"Liberty County, Georgia",61349,22811,22248
"Lincoln County, Georgia",7856,26918,3289
"Long County, Georgia",18692,22639,6546
"Lowndes County, Georgia",115364,23348,47834
"Lumpkin County, Georgia",32402,27155,15740
"McDuffie County, Georgia",21455,21625,8481
"McIntosh County, Georgia",14174,26892,6069
"Macon County, Georgia",13305,17883,4416
"Madison County, Georgia",29218,24511,12821
"Marion County, Georgia",8432,22541,3218
"Meriwether County, Georgia",21106,21038,8071
"Miller County, Georgia",5787,23870,2426
"Mitchell County, Georgia",22244,18619,8288
"Monroe County, Georgia",27171,33290,11331
"Montgomery County, Georgia",9058,22477,3532
"Morgan County, Georgia",18507,33571,8432
"Murray County, Georgia",39724,21989,17531
"Muscogee County, Georgia",195739,26097,77701
"Newton County, Georgia",108079,25247,48967
"Oconee County, Georgia",38132,44336,18706
"Oglethorpe County, Georgia",14931,23523,6518
"Paulding County, Georgia",159825,27979,78024
"Peach County, Georgia",27145,24486,10625
"Pickens County, Georgia",31387,31965,14170
"Pierce County, Georgia",19250,22268,7535
"Pike County, Georgia",18327,27639,8032
"Polk County, Georgia",41908,23857,18213
"Pulaski County, Georgia",11216,20746,3692
"Putnam County, Georgia",21691,31504,9501
"Quitman County, Georgia",2289,18639,817
"Rabun County, Georgia",16645,28266,6150
"Randolph County, Georgia",6973,16691,2397
"Richmond County, Georgia",201852,22787,82032
"Rockdale County, Georgia",89717,28320,40693
"Schley County, Georgia",5221,20965,2245
"Screven County, Georgia",13989,22213,5473
"Seminole County, Georgia",8321,29614,2967
"Spalding County, Georgia",65306,24582,26767
"Stephens County, Georgia",25750,23546,10507
"Stewart County, Georgia",6293,16705,1485
"Sumter County, Georgia",30064,20654,11813
"Talbot County, Georgia",6321,21357,2590
"Taliaferro County, Georgia",1611,21416,598
"Tattnall County, Georgia",25382,18319,7974
"Taylor County, Georgia",8116,21298,3090
"Telfair County, Georgia",16035,17202,5055
"Terrell County, Georgia",8737,20045,3356
"Thomas County, Georgia",44630,27454,19498
"Tift County, Georgia",40541,22974,18424
"Toombs County, Georgia",26972,24399,10475
"Towns County, Georgia",11617,25972,4438
"Treutlen County, Georgia",6795,21830,2443
"Troup County, Georgia",69919,23124,29625
"Turner County, Georgia",7943,19527,3100
"Twiggs County, Georgia",8229,20979,2895
"Union County, Georgia",23288,28953,8606
"Upson County, Georgia",26236,21747,10270
"Walker County, Georgia",69039,24247,29880
"Walton County, Georgia",91442,27889,41903
"Ware County, Georgia",35593,20411,13292
"Warren County, Georgia",5297,23448,2115
"Washington County, Georgia",20436,20303,7341
"Wayne County, Georgia",29788,21090,10919
"Webster County, Georgia",2610,24102,1080
"Wheeler County, Georgia",7928,14654,2491
"White County, Georgia",29489,27406,12767
"Whitfield County, Georgia",104237,23974,47674
"Wilcox County, Georgia",8824,16183,2624
"Wilkes County, Georgia",9844,24674,4092
"Wilkinson County, Georgia",9010,22141,3276
"Worth County, Georgia",20494,24415,8829
"Hawaii County, Hawaii",199459,30542,88098
"Honolulu County, Hawaii",984821,36816,470749
"Kalawao County, Hawaii",66,49118,52
"Kauai County, Hawaii",71769,33143,36460
"Maui County, Hawaii",165979,35241,84899
"Ada County, Idaho",456849,34919,229029
"Adams County, Idaho",4097,28026,1573
"Bannock County, Idaho",85765,25076,37593
"Bear Lake County, Idaho",6000,26378,2585
"Benewah County, Idaho",9138,23255,3482
"Bingham County, Idaho",45839,23059,19732
"Blaine County, Idaho",22373,33645,12325
"Boise County, Idaho",7378,31975,2947
"Bonner County, Idaho",43611,27918,18299
"Bonneville County, Idaho",114392,28671,51226
"Boundary County, Idaho",11845,25782,4670
"Butte County, Idaho",2581,30294,951
"Camas County, Idaho",1048,30209,493
"Canyon County, Idaho",217633,22232,96436
"Caribou County, Idaho",6953,26221,2983
"Cassia County, Idaho",23690,21687,10141
"Clark County, Idaho",913,18860,409
"Clearwater County, Idaho",8673,23412,2842
"Custer County, Idaho",4169,23805,1482
"Elmore County, Idaho",26743,23028,9539
"Franklin County, Idaho",13464,24185,5915
"Fremont County, Idaho",13020,23577,5356
"Gem County, Idaho",17331,22661,7233
"Gooding County, Idaho",15148,23607,6984
"Idaho County, Idaho",16411,22672,6214
"Jefferson County, Idaho",28534,24677,12917
"Jerome County, Idaho",23730,21461,11055
"Kootenai County, Idaho",157322,29948,73191
"Latah County, Idaho",39505,27011,20190
"Lemhi County, Idaho",7847,25075,3194
"Lewis County, Idaho",3838,24094,1454
"Lincoln County, Idaho",5350,21656,2559
"Madison County, Idaho",39100,16585,18393
"Minidoka County, Idaho",20705,24262,9547
"Nez Perce County, Idaho",40217,29544,19215
"Oneida County, Idaho",4385,22120,1725
"Owyhee County, Idaho",11552,22806,5168
"Payette County, Idaho",23260,25768,9876
"Power County, Idaho",7671,23343,3304
"Shoshone County, Idaho",12609,23987,5025
"Teton County, Idaho",11426,31191,5930
"Twin Falls County, Idaho",84869,25352,40237
"Valley County, Idaho",10709,33709,4714
"Washington County, Idaho",10057,22650,4104
"Adams County, Illinois",66085,30343,32677
"Alexander County, Illinois",6260,19519,2102
"Bond County, Illinois",16589,28119,7417
"Boone County, Illinois",53537,31943,25777
"Brown County, Illinois",6628,23070,2423
"Bureau County, Illinois",33122,30255,15890
"Calhoun County, Illinois",4830,28822,1996
"Carroll County, Illinois",14466,29166,6570
"Cass County, Illinois",12493,26992,5978
"Champaign County, Illinois",209922,30578,103206
"Christian County, Illinois",32931,27361,14704
"Clark County, Illinois",15716,30796,7572
"Clay County, Illinois",13287,26815,6030
"Clinton County, Illinois",37634,31783,18656
"Coles County, Illinois",51353,28084,24994
"Cook County, Illinois",5198275,37552,2567330
"Crawford County, Illinois",18972,26546,7645
"Cumberland County, Illinois",10836,27812,5396
"DeKalb County, Illinois",104366,29430,53520
"De Witt County, Illinois",15932,30729,7926
"Douglas County, Illinois",19623,28139,9522
"DuPage County, Illinois",929060,46272,491547
"Edgar County, Illinois",17407,27797,8218
"Edwards County, Illinois",6455,28255,2929
"Effingham County, Illinois",34137,31665,17279
"Fayette County, Illinois",21565,23194,8760
"Ford County, Illinois",13270,28957,6306
"Franklin County, Illinois",38923,24098,15804
"Fulton County, Illinois",35092,27741,15016
"Gallatin County, Illinois",5064,33377,2124
"Greene County, Illinois",13132,25414,6153
"Grundy County, Illinois",50666,35208,25357
"Hamilton County, Illinois",8176,27702,3559
"Hancock County, Illinois",17983,28576,8133
"Hardin County, Illinois",3939,28932,1310
"Henderson County, Illinois",6809,28950,3294
"Henry County, Illinois",49267,30345,22995
"Iroquois County, Illinois",27812,27574,12897
"Jackson County, Illinois",57977,24804,24955
"Jasper County, Illinois",9594,25849,4392
"Jefferson County, Illinois",37985,26466,16090
"Jersey County, Illinois",21937,30182,10401
"Jo Daviess County, Illinois",21588,34437,10689
"Johnson County, Illinois",12494,23140,3814
"Kane County, Illinois",531376,36270,268488
"Kankakee County, Illinois",110637,27984,50949
"Kendall County, Illinois",126054,36382,65645
"Knox County, Illinois",50508,24545,21091
"Lake County, Illinois",701473,45766,351926
"LaSalle County, Illinois",109737,30277,52003
"Lawrence County, Illinois",16033,23613,6166
"Lee County, Illinois",34389,29984,15438
"Livingston County, Illinois",36040,27925,15981
"Logan County, Illinois",29003,27546,12426
"McDonough County, Illinois",30479,24094,13558
"McHenry County, Illinois",307714,39006,164564
"McLean County, Illinois",172578,34532,88705
"Macon County, Illinois",105528,29644,46487
"Macoupin County, Illinois",45463,28809,20551
"Madison County, Illinois",264776,32427,127273
"Marion County, Illinois",37743,25563,16244
"Marshall County, Illinois",11679,30808,5338
"Mason County, Illinois",13621,28534,6339
"Massac County, Illinois",14219,23539,5636
"Menard County, Illinois",12306,37098,6223
"Mercer County, Illinois",15589,29268,7531
"Monroe County, Illinois",34168,42152,18127
"Montgomery County, Illinois",28828,26609,11571
"Morgan County, Illinois",34247,26755,15573
